Website,window.onload,Math.random,String.prototype.replace,document.createElement,document.addEventListener,String.prototype.concat,document.removeEventListener,String.prototype.charCodeAt,document.write,document.getElementById,document.cookie (get),String.prototype.search,Array.prototype.indexOf,document.getElementsByTagName,document.hasOwnProperty,document.elementFromPoint,String.fromCharCode,String.prototype.charAt,Math.log,window.eval,String.prototype.substring,window.Uint8Array,document.cookie (set),window.setInterval,window.Blob,window.URL.createObjectURL,window.atob,window.unescape,window.escape,HTMLCanvasElement.prototype.toDataURL,navigator.sendBeacon,window.URL.revokeObjectURL,Image,document.writeln,document.contains,document.getElementsByClassName,document.open,document.valueOf,document.getRootNode
"https://randomnameless.github.io/MaliciousJSDataset/www_ucsf_edu/0047baebb3.html",1,0,15,5,1,3740,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_ucsf_edu/custom-elements-es5-adapter.html",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_ucsf_edu/launch-db8f55f3e131.min.html",1,0,164,6,7,163,0,0,0,1,7,0,7,1,0,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_ucsf_edu/email-decode.min.html",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_rhapsody_com/amplitude-8.16.1-min.gz.html",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_rhapsody_com/appboy.min.html",1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_rhapsody_com/osano.html",1,11,350,3,3,28494,1,928,0,1,0,0,220,0,0,0,220,1,0,0,6,1,0,1,1,1,3,5,3,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_rhapsody_com/analytics.html",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_radiocity_com/AppMeasurement_Module_ActivityMap.min.html",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_radiocity_com/venue-landing-page.01c1c5c8.chunk.html",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_radiocity_com/vendor.c72c1582.html",1,5,1095,23,1,8,1,2368,0,0,0,1,2,0,0,0,37,186,0,0,169,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_radiocity_com/svg-pan-zoom.min.html",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_radiocity_com/satelliteLib-9fb3911e2c7b3e3ed7ebb6a06f6efc9d1819095c.html",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_radiocity_com/index.min.html",1,0,0,6,0,0,0,150,0,0,0,0,23,2,0,0,0,172,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_radiocity_com/client.e917c5a6.html",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_radiocity_com/config.html",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_radiocity_com/accessibility.html",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_radiocity_com/hammer.min.html",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_radiocity_com/detector-dom.min.html",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_radiocity_com/AppMeasurement.min.html",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_radiocity_com/otBannerSdk.html",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_radiocity_com/otSDKStub.html",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_radiocity_com/xyz.html",1,2,34,1,1,0,0,0,0,0,0,0,6,1,0,0,3,56,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_eastbayproperty_com/UX.4.45.4.html",1,2,99,1,0,0,0,0,0,0,0,0,1,0,0,0,11,168,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_eastbayproperty_com/script.html",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_dec_ny_gov/analytics.html",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_dec_ny_gov/ruxitagentjs_ICA7NVfqrux_10303241106123517.html",1,4,11,1,13,72,0,82,1,1,41,0,4,3,0,0,32,875,0,0,21,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/emigrationrusse_com/analytics.html",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/emigrationrusse_com/lity.min.html",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/emigrationrusse_com/jquery-3.4.1.min.html",1,1,1,22,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_msu_edu/form.conditions.html",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_msu_edu/VisitorIdentification.html",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_msu_edu/jquery.unobtrusive-ajax.min.html",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_msu_edu/jquery.validate.min.html",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_msu_edu/ScrollMagic.min.html",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_msu_edu/TweenMax.min.html",1,80,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_msu_edu/form.validate.html",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_msu_edu/form.tracking.html",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_msu_edu/jquery.validate.unobtrusive.min.html",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_msu_edu/script.html",1,1,1,13,2,0,0,288,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_msu_edu/animation.gsap.min.html",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_msu_edu/gifffer.min.html",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_msu_edu/enterprise.html",1,5,9,2,0,0,0,38,0,0,0,0,0,1,0,0,31,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_msu_edu/formsextensions.validate.html",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_msu_edu/jquery-3.4.1.min.html",1,1,1,22,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/jalopnik_com/runtime~videoMediaQuerySupport.87053d08d5634a107c35.html",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_hollywoodchicago_com/rocket-loader.min.html",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/ap_org/shim.html",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/ap_org/OtAutoBlock.html",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/ap_org/otBannerSdk.html",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/ap_org/otSDKStub.html",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/ap_org/collect.html",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_sears_com/main.f4ef8c5e353875df.html",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_sears_com/engine.html",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_sears_com/8.html",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_sears_com/runtime.82c25f44c797cfcd.html",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_sears_com/760.html",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_sears_com/load_gtm.html",1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_sears_com/default-src_app_shared_components_recently-view_recently-view_component_ts.cf21deda74289b41.html",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_sears_com/load_theme.html",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_sears_com/custom_bot_logic.html",1,23,220,6,0,458,0,11568,2,0,2,1,48,2,0,0,5,21,4,0,0,5,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_sears_com/default-src_app_shared_components_recommendation_recommendation_component_ts.5d50f783659a9391.html",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_sears_com/forter.html",1,3,49,7,9,28,0,143588,0,2,8,0,4,1,0,0,64727,192,0,0,26,1,3,3,4,2,2,12,11,1,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_sears_com/script.html",1,3,45,3,8,28,0,143397,0,2,9,0,2,0,0,0,64568,192,0,0,25,1,3,3,4,2,2,11,12,1,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_sears_com/src_app_home_home_module_ts.a59dac0ddb7a32eb.html",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_sears_com/gtm_prod.html",1,4,1996,33,5,0,0,0,0,6,31,0,197,1,0,0,132,176,0,185,4172,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_sears_com/scripts.17b9acc0e357f40d.html",1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_sears_com/otBannerSdk.html",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_sears_com/polyfills.20ba8f11077cb1c4.html",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_sears_com/load_gtm_noscript.html",1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_sears_com/otSDKStub.html",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_sears_com/oneTrust.html",1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_sears_com/136.html",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_sears_com/ui.html",1,14,170,8,2,0,0,0,0,0,0,0,13,6,0,0,11,168,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_sears_com/www-widgetapi.html",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_nakido_com/bAfdKFfbD.html",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_upperplayground_com/features-1c0b396bd4d054b94abae1eb6a1bd6ba47beb35525c57a217c77a862ff06d83f.html",1,1,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_upperplayground_com/algoliasearch.min.html",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_upperplayground_com/up_loader.1.1.0.html",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_upperplayground_com/instantsearch.min.html",1,2,5,5,0,0,0,35,0,0,0,0,5,0,0,0,11,164,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_upperplayground_com/zjl4bko.html",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_upperplayground_com/trekkie.storefront.20de3b35f21c3bd6ff73e3f1547eb7d54e6e94e4.min.html",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_upperplayground_com/conversion.html",1,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"https://randomnameless.github.io/MaliciousJSDataset/www_upperplayground_com/autocomplete.jquery.min.html",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
